"Codigo","Nombre","cantidad","Descripcion","Categoria","Etiquetas","Precio","URL FOTO",""
"2","Leche Entera Alpina","6","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3100","https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001041404.jpg",""
"2","Leche Alpina Deslactosada ","7","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3400","https://cdn.derematazo.com/wp-content/uploads/2019/08/Leche-Alpina-Deslactosada-Bolsa-x-1100ml-23445.jpg",""
"3","Leche Alpina Semi-Descremada  ","8","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3500","https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001050130.jpg",""
"4","Leche Alpina Deslactosada-Descremada ","9","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3500","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496784-1000-1000/7702001053841.jpg?v=637230819660630000",""
"5","Leche Alpina Descremada  ","11","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3500","https://supertiendascomunal.com/5457-large_default/leche-descremada-alpina-11-lt.jpg",""
"6","Leche Alpina Entera  ","12","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","16200","https://metrocolombiafood.vteximg.com.br/arquivos/ids/266047-750-750/7702001041411.jpg?v=637230837843670000",""
"7","Leche Alpina Deslactosada  ","5","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","17700","https://exitocol.vtexassets.com/arquivos/ids/1782790/Leche-Deslactosada-Sixpack-En-Bolsa-X-11-Litros-Cu-576258_a.png?v=637236951475730000",""
"8","Leche Alpina Semi-Descremada ","6","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","21000","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496788-750-750/7702001050208.jpg?v=637230819678000000",""
"9","Leche Alpina Deslactosada-Descremada ","7","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","21000","https://mercaldas.vteximg.com.br/arquivos/ids/183332-1300-1300/LECHE-ALPINA-6UN-1100-DESLACDESCREM-BS.jpg?v=636996793400800000",""
"10","Leche Alpina Descremada ","8","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","21000","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496787-750-750/7702001050352.jpg?v=637230819672530000",""
"11","Leche Colanta Entera","9","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3000","https://metrocolombiafood.vteximg.com.br/arquivos/ids/161293-1000-1000/7702129003650-2.jpg?v=636670254575170000",""
"12","Leche Colanta Deslactosada","11","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3100","https://exitocol.vtexassets.com/arquivos/ids/1976110/Leche-Semidescremada-Deslactosada-Maxilitro-X-11-Litros-64883_a.jpg?v=637259106213630000",""
"13","Leche Colanta Entera","12","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","17800","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/160647-750-750/7702129003612-20-281-29.jpg?v=636106927140030000",""
"14","Leche Colanta Deslactosada","5","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","18800","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/160643-750-750/7702129006194-20-281-29.jpg?v=636106927124170000",""
"15","Leche Alqueria Entera","6","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3100","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3295320-1000-1000/7702177001783-1.jpg?v=636646652313570000",""
"16","Leche Alqueria Deslactosada","7","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3400","https://www.mercapava.com.co/wp-content/uploads/importedmedia/blogmedia-144841-600x600.jpg",""
"17","Leche Alqueria Descremada Deslactosada","8","Bolsa x 1.100 ml","Lacteo/Huevos y refrigerados","Leches ","3400","https://cdn1.totalcode.net/la14/product-zoom/es/leche-descremada-deslactosada-alqueria-x1100ml-1.jpg",""
"18","Leche Alqueria Entera","9","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","18500","https://metrocolombiafood.vteximg.com.br/arquivos/ids/161294-750-750/7702177001790-1.jpg?v=636670254577130000",""
"19","Leche Alqueria Deslactosada","11","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","19900","https://metrocolombiafood.vteximg.com.br/arquivos/ids/161287-1000-1000/7702177008560-1.jpg?v=636670254568800000",""
"20","Leche Alqueria Descremada Deslactosada","12","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","20800","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3475883-750-750/7702177017982.jpg?v=637145275690670000",""
"21","Leche Alqueria Descremada","5","Paca x 6 und","Lacteo/Huevos y refrigerados","Leche","18500","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3475890-1000-1000/7702177003527.jpg?v=637145275725370000",""
"22","Leche Algarra Entera","6","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","15500","https://www.merkadomi.com/wp-content/uploads/2020/08/gloria-algarra-6-1100ml-2.jpg",""
"23","Leche Algarra Deslactosada","7","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","16500","https://www.merkadomi.com/wp-content/uploads/2020/08/algarra-6-unidades.jpg",""
"24","Leche Alpin Chocolate ","8","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","8900","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496702-750-750/7702001116560.jpg?v=637230819345200000",""
"25","Leche Alpin Fresa","9","Paca x 6 und","Lacteo/Huevos y refrigerados","Leches ","8900","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496701-750-750/7702001116577.jpg?v=637230819344900000",""
"26","Leche Alpin Chocolate ","11","Bolsa x 800 ml","Lacteo/Huevos y refrigerados","Leches ","5300","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3537658-750-750/7702001155354.jpg?v=637344951889170000",""
"27","Bebida Jappi Almendra Natural ","12","Caja x 900 ml","Lacteo/Huevos y refrigerados","Leches ","9300","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498959-750-750/7702141003997.jpg?v=637237121063000000",""
"28","Bebida Jappi Almendra Vainilla ","5","Caja x 900 ml","Lacteo/Huevos y refrigerados","Leches ","9300","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498962-1000-1000/7702141004000.jpg?v=637237121067530000",""
"29","Bebida Jappi Coco Natural ","6","Caja x 900 ml","Lacteo/Huevos y refrigerados","Leches ","9300","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498963-750-750/7702141007544.jpg?v=637237121069570000",""
"30","Leche Proleche Entera","7","Bolsa x 380 gr","Lacteo/Huevos y refrigerados","Leches en Polvo","8400","https://jumbocolombiafood.vteximg.com.br/arquivos/ids/188121-1000-1000/7702130612414_1.jpg?v=636144836385570000",""
